Date,Count,HiLimit,LoLimit
1/1/2012,15,30,5
1/2/2012,0,30,5
1/3/2012,0,30,5
1/4/2012,0,30,5
1/5/2012,0,30,5
1/6/2012,0,30,5
1/7/2012,0,30,5
1/8/2012,0,30,5
1/9/2012,0,30,5
1/10/2012,0,30,5
1/11/2012,0,30,5
1/12/2012,0,30,5
1/13/2012,0,30,5
1/14/2012,0,30,5
1/15/2012,0,30,5
1/16/2012,0,30,5
1/17/2012,0,30,5
1/18/2012,0,30,5
1/19/2012,0,30,5
1/20/2012,0,30,5
1/21/2012,0,30,5
1/22/2012,0,30,5
1/23/2012,0,30,5
1/24/2012,0,30,5
1/25/2012,0,30,5
1/26/2012,0,30,5
1/27/2012,0,30,5
1/28/2012,0,30,5
1/29/2012,0,30,5
1/30/2012,0,30,5
1/31/2012,0,30,5
2/1/2012,0,30,5
2/2/2012,0,30,5
2/3/2012,0,30,5
2/4/2012,0,30,5
2/5/2012,0,30,5
2/6/2012,0,30,5
2/7/2012,0,30,5
2/8/2012,0,30,5
2/9/2012,0,30,5
2/10/2012,0,30,5
2/11/2012,0,30,5
2/12/2012,0,30,5
2/13/2012,0,30,5
2/14/2012,0,30,5
2/15/2012,0,30,5
2/16/2012,0,30,5
2/17/2012,0,30,5
2/18/2012,0,30,5
2/19/2012,0,30,5
2/20/2012,1,30,5
2/21/2012,4,30,5
2/22/2012,0,30,5
2/23/2012,1,30,5
2/24/2012,0,30,5
2/25/2012,0,30,5
2/26/2012,0,30,5
2/27/2012,2,30,5
2/28/2012,1,30,5
2/29/2012,0,30,5
3/1/2012,0,30,5
3/2/2012,0,30,5
3/3/2012,0,30,5
3/4/2012,0,30,5
3/5/2012,0,30,5
3/6/2012,3,30,5
3/7/2012,2,30,5
3/8/2012,0,30,5
3/9/2012,1,30,5
3/10/2012,0,30,5
3/11/2012,0,30,5
3/12/2012,0,30,5
3/13/2012,0,30,5
3/14/2012,0,30,5
3/15/2012,0,30,5
3/16/2012,0,30,5
3/17/2012,0,30,5
3/18/2012,0,30,5
3/19/2012,0,30,5
3/20/2012,2,30,5
3/21/2012,0,30,5
3/22/2012,1,30,5
3/23/2012,0,30,5
3/24/2012,0,30,5
3/25/2012,0,30,5
3/26/2012,0,30,5
3/27/2012,0,30,5
3/28/2012,0,30,5
3/29/2012,0,30,5
3/30/2012,0,30,5
3/31/2012,0,30,5
4/1/2012,0,30,5
